,SRO
2799.2MHz,3.39
2799.4MHz,3.39
2799.6MHz,3.39
2799.8MHz,3.39
2800.0MHz,5.08
2800.2MHz,5.08
2800.4MHz,5.08
2800.6MHz,6.78
2800.8MHz,8.47
2801.0MHz,8.47
2801.2MHz,13.56
2801.4MHz,13.56
2801.6MHz,15.25
2801.8MHz,11.86
2802.0MHz,6.78
2802.2MHz,6.78
2802.4MHz,6.78
2802.6MHz,5.08
2802.8MHz,1.69
2803.0MHz,3.39
2803.2MHz,3.39
2803.4MHz,3.39
2803.6MHz,3.39
2803.8MHz,3.39
2804.0MHz,3.39
2804.2MHz,5.08
2804.4MHz,6.78
2804.6MHz,6.78
2804.8MHz,5.08
2805.0MHz,5.08
2805.2MHz,5.08
2805.4MHz,5.08
2805.6MHz,5.08
2805.8MHz,6.78
2806.0MHz,6.78
2806.2MHz,8.47
2806.4MHz,8.47
2806.6MHz,8.47
2806.8MHz,10.17
2807.0MHz,11.86
2807.2MHz,13.56
2807.4MHz,15.25
2807.6MHz,16.95
2807.8MHz,16.95
2808.0MHz,18.64
2808.2MHz,18.64
2808.4MHz,16.95
2808.6MHz,16.95
2808.8MHz,16.95
2809.0MHz,16.95
2809.2MHz,16.95
2809.4MHz,16.95
2809.6MHz,18.64
2809.8MHz,18.64
2810.0MHz,16.95
2810.2MHz,18.64
2810.4MHz,18.64
2810.6MHz,18.64
2810.8MHz,18.64
2811.0MHz,20.34
2811.2MHz,20.34
2811.4MHz,20.34
2811.6MHz,20.34
2811.8MHz,20.34
2812.0MHz,20.34
2812.2MHz,20.34
2812.4MHz,20.34
2812.6MHz,20.34
2812.8MHz,20.34
2813.0MHz,20.34
2813.2MHz,20.34
2813.4MHz,20.34
2813.6MHz,20.34
2813.8MHz,20.34
2814.0MHz,20.34
2814.2MHz,20.34
2814.4MHz,20.34
2814.6MHz,20.34
2814.8MHz,20.34
2815.0MHz,20.34
2815.2MHz,20.34
2815.4MHz,20.34
2815.6MHz,20.34
2815.8MHz,20.34
2816.0MHz,20.34
2816.2MHz,20.34
2816.4MHz,20.34
2816.6MHz,20.34
2816.8MHz,20.34
2817.0MHz,20.34
2817.2MHz,20.34
2817.4MHz,20.34
2817.6MHz,20.34
2817.8MHz,20.34
2818.0MHz,20.34
2818.2MHz,20.34
2818.4MHz,20.34
2818.6MHz,20.34
2818.8MHz,20.34
2819.0MHz,20.34
2819.2MHz,20.34
2819.4MHz,20.34
2819.6MHz,20.34
2819.8MHz,20.34
2820.0MHz,20.34
2820.2MHz,20.34
2820.4MHz,20.34
2820.6MHz,20.34
2820.8MHz,20.34
2821.0MHz,20.34
2821.2MHz,20.34
2821.4MHz,20.34
2821.6MHz,20.34
2821.8MHz,20.34
2822.0MHz,20.34
2822.2MHz,20.34
2822.4MHz,20.34
2822.6MHz,20.34
2822.8MHz,20.34
2823.0MHz,20.34
2823.2MHz,20.34
2823.4MHz,20.34
2823.6MHz,20.34
2823.8MHz,20.34
2824.0MHz,20.34
2824.2MHz,20.34
2824.4MHz,20.34
2824.6MHz,20.34
2824.8MHz,20.34
2825.0MHz,20.34
2825.2MHz,20.34
2825.4MHz,20.34
2825.6MHz,20.34
2825.8MHz,20.34
2826.0MHz,20.34
2826.2MHz,20.34
2826.4MHz,20.34
2826.6MHz,20.34
2826.8MHz,20.34
2827.0MHz,20.34
2827.2MHz,20.34
2827.4MHz,20.34
2827.6MHz,18.64
2827.8MHz,16.95
2828.0MHz,15.25
2828.2MHz,15.25
2828.4MHz,15.25
2828.6MHz,16.95
2828.8MHz,16.95
2829.0MHz,16.95
2829.2MHz,16.95
2829.4MHz,18.64
2829.6MHz,18.64
2829.8MHz,18.64
2830.0MHz,18.64
2830.2MHz,18.64
2830.4MHz,15.25
2830.6MHz,13.56
2830.8MHz,13.56
2831.0MHz,11.86
2831.2MHz,11.86
2831.4MHz,11.86
2831.6MHz,11.86
2831.8MHz,11.86
2832.0MHz,11.86
2832.2MHz,11.86
2832.4MHz,11.86
2832.6MHz,11.86
2832.8MHz,11.86
2833.0MHz,11.86
2833.2MHz,11.86
2833.4MHz,10.17
2833.6MHz,10.17
2833.8MHz,10.17
2834.0MHz,10.17
2834.2MHz,10.17
2834.4MHz,8.47
2834.6MHz,8.47
2834.8MHz,8.47
2835.0MHz,6.78
2835.2MHz,6.78
2835.4MHz,6.78
2835.6MHz,3.39
2835.8MHz,3.39
2836.0MHz,3.39
2836.2MHz,3.39
2836.4MHz,3.39
2836.6MHz,3.39
2836.8MHz,3.39
2837.0MHz,3.39
2837.2MHz,3.39
2837.4MHz,3.39
2837.6MHz,3.39
2837.8MHz,3.39
2838.0MHz,3.39
2838.2MHz,3.39
2838.4MHz,3.39
2838.6MHz,3.39
2838.8MHz,3.39
2839.0MHz,3.39
2839.2MHz,3.39
2839.4MHz,3.39
2839.6MHz,3.39
2839.8MHz,3.39
2840.0MHz,3.39
2840.2MHz,3.39
2840.4MHz,3.39
2840.6MHz,3.39
2840.8MHz,3.39
2841.0MHz,3.39
2841.2MHz,3.39
2841.4MHz,3.39
2841.6MHz,3.39
2841.8MHz,3.39
2842.0MHz,3.39
2842.2MHz,1.69
2842.4MHz,1.69
2842.6MHz,1.69
2842.8MHz,1.69
2843.0MHz,0.0
2843.2MHz,3.39
2843.4MHz,3.39
2843.6MHz,3.39
2843.8MHz,3.39
2844.0MHz,3.39
2844.2MHz,3.39
2844.4MHz,3.39
2844.6MHz,3.39
2844.8MHz,3.39
2845.0MHz,5.08
2845.2MHz,5.08
2845.4MHz,5.08
2845.6MHz,5.08
2845.8MHz,5.08
2846.0MHz,5.08
2846.2MHz,5.08
2846.4MHz,5.08
2846.6MHz,6.78
2846.8MHz,8.47
2847.0MHz,8.47
2847.2MHz,8.47
2847.4MHz,10.17
2847.6MHz,11.86
2847.8MHz,13.56
2848.0MHz,16.95
2848.2MHz,15.25
2848.4MHz,13.56
2848.6MHz,15.25
2848.8MHz,8.47
2849.0MHz,8.47
2849.2MHz,6.78
2849.4MHz,5.08
2849.6MHz,5.08
2849.8MHz,5.08
2850.0MHz,3.39
2850.2MHz,3.39
2850.4MHz,3.39
2850.6MHz,3.39
2850.8MHz,5.08
2851.0MHz,8.47
2851.2MHz,10.17
2851.4MHz,15.25
2851.6MHz,16.95
2851.8MHz,10.17
2852.0MHz,5.08
2852.2MHz,5.08
2852.4MHz,5.08
2852.6MHz,1.69
2852.8MHz,1.69
2853.0MHz,1.69
2853.2MHz,0.0
2853.4MHz,0.0
2853.6MHz,0.0
2853.8MHz,0.0
2854.0MHz,0.0
2854.2MHz,0.0
2854.4MHz,0.0
2854.6MHz,0.0
2854.8MHz,0.0
2855.0MHz,0.0
2855.2MHz,0.0
2855.4MHz,0.0
2855.6MHz,0.0
2855.8MHz,0.0
2856.0MHz,0.0
2856.2MHz,0.0
2856.4MHz,0.0
2856.6MHz,0.0
2856.8MHz,0.0
2857.0MHz,1.69
2857.2MHz,3.39
2857.4MHz,3.39
2857.6MHz,3.39
2857.8MHz,3.39
2858.0MHz,3.39
2858.2MHz,3.39
2858.4MHz,3.39
2858.6MHz,3.39
2858.8MHz,5.08
2859.0MHz,3.39
2859.2MHz,5.08
2859.4MHz,6.78
2859.6MHz,6.78
2859.8MHz,6.78
2860.0MHz,8.47
2860.2MHz,8.47
2860.4MHz,8.47
2860.6MHz,8.47
2860.8MHz,8.47
2861.0MHz,8.47
2861.2MHz,8.47
2861.4MHz,8.47
2861.6MHz,8.47
2861.8MHz,8.47
2862.0MHz,8.47
2862.2MHz,8.47
2862.4MHz,8.47
2862.6MHz,8.47
2862.8MHz,8.47
2863.0MHz,8.47
2863.2MHz,8.47
2863.4MHz,8.47
2863.6MHz,8.47
2863.8MHz,8.47
2864.0MHz,8.47
2864.2MHz,8.47
2864.4MHz,8.47
2864.6MHz,8.47
2864.8MHz,8.47
2865.0MHz,8.47
2865.2MHz,8.47
2865.4MHz,8.47
2865.6MHz,8.47
2865.8MHz,8.47
2866.0MHz,8.47
2866.2MHz,8.47
2866.4MHz,8.47
2866.6MHz,8.47
2866.8MHz,8.47
2867.0MHz,8.47
2867.2MHz,8.47
2867.4MHz,8.47
2867.6MHz,8.47
2867.8MHz,8.47
2868.0MHz,8.47
2868.2MHz,8.47
2868.4MHz,8.47
2868.6MHz,8.47
2868.8MHz,8.47
2869.0MHz,8.47
2869.2MHz,8.47
2869.4MHz,8.47
2869.6MHz,8.47
2869.8MHz,8.47
2870.0MHz,8.47
2870.2MHz,8.47
2870.4MHz,8.47
2870.6MHz,8.47
2870.8MHz,8.47
2871.0MHz,8.47
2871.2MHz,8.47
2871.4MHz,8.47
2871.6MHz,8.47
2871.8MHz,8.47
2872.0MHz,8.47
2872.2MHz,8.47
2872.4MHz,8.47
2872.6MHz,8.47
2872.8MHz,8.47
2873.0MHz,8.47
2873.2MHz,8.47
2873.4MHz,8.47
2873.6MHz,8.47
2873.8MHz,8.47
2874.0MHz,8.47
2874.2MHz,8.47
2874.4MHz,8.47
2874.6MHz,8.47
2874.8MHz,8.47
2875.0MHz,8.47
2875.2MHz,8.47
2875.4MHz,8.47
2875.6MHz,8.47
2875.8MHz,8.47
2876.0MHz,8.47
2876.2MHz,8.47
2876.4MHz,8.47
2876.6MHz,8.47
2876.8MHz,8.47
2877.0MHz,8.47
2877.2MHz,8.47
2877.4MHz,8.47
2877.6MHz,8.47
2877.8MHz,8.47
2878.0MHz,8.47
2878.2MHz,8.47
2878.4MHz,8.47
2878.6MHz,8.47
2878.8MHz,8.47
2879.0MHz,8.47
2879.2MHz,8.47
2879.4MHz,8.47
2879.6MHz,8.47
2879.8MHz,8.47
2880.0MHz,8.47
2880.2MHz,8.47
2880.4MHz,8.47
2880.6MHz,8.47
2880.8MHz,8.47
2881.0MHz,8.47
2881.2MHz,8.47
2881.4MHz,8.47
2881.6MHz,8.47
2881.8MHz,8.47
2882.0MHz,8.47
2882.2MHz,8.47
2882.4MHz,8.47
2882.6MHz,8.47
2882.8MHz,8.47
2883.0MHz,8.47
2883.2MHz,8.47
2883.4MHz,6.78
2883.6MHz,6.78
2883.8MHz,6.78
2884.0MHz,5.08
2884.2MHz,5.08
2884.4MHz,5.08
2884.6MHz,5.08
2884.8MHz,5.08
2885.0MHz,5.08
2885.2MHz,5.08
2885.4MHz,3.39
2885.6MHz,3.39
2885.8MHz,1.69
2886.0MHz,1.69
2886.2MHz,1.69
2886.4MHz,1.69
2886.6MHz,1.69
2886.8MHz,1.69
2887.0MHz,1.69
2887.2MHz,1.69
2887.4MHz,1.69
2887.6MHz,1.69
2887.8MHz,1.69
2888.0MHz,1.69
2888.2MHz,1.69
2888.4MHz,1.69
2888.6MHz,1.69
2888.8MHz,1.69
2889.0MHz,1.69
2889.2MHz,1.69
2889.4MHz,1.69
2889.6MHz,1.69
2889.8MHz,1.69
2890.0MHz,1.69
2890.2MHz,1.69
2890.4MHz,1.69
2890.6MHz,1.69
2890.8MHz,1.69
2891.0MHz,1.69
2891.2MHz,1.69
2891.4MHz,1.69
2891.6MHz,1.69
2891.8MHz,1.69
2892.0MHz,1.69
2892.2MHz,1.69
2892.4MHz,1.69
2892.6MHz,1.69
2892.8MHz,1.69
2893.0MHz,1.69
2893.2MHz,1.69
2893.4MHz,1.69
2893.6MHz,1.69
2893.8MHz,1.69
2894.0MHz,1.69
2894.2MHz,1.69
2894.4MHz,1.69
2894.6MHz,1.69
2894.8MHz,1.69
2895.0MHz,1.69
2895.2MHz,1.69
2895.4MHz,1.69
2895.6MHz,3.39
2895.8MHz,3.39
2896.0MHz,3.39
2896.2MHz,3.39
2896.4MHz,5.08
2896.6MHz,3.39
2896.8MHz,5.08
2897.0MHz,5.08
2897.2MHz,6.78
2897.4MHz,8.47
2897.6MHz,8.47
2897.8MHz,8.47
2898.0MHz,8.47
2898.2MHz,10.17
2898.4MHz,15.25
2898.6MHz,10.17
2898.8MHz,8.47
2899.0MHz,8.47
2899.2MHz,8.47
2899.4MHz,6.78
2899.6MHz,3.39
2899.8MHz,3.39
2900.0MHz,0.0
2900.2MHz,0.0
2900.4MHz,1.69
2900.6MHz,3.39
2900.8MHz,3.39
2901.0MHz,5.08
2901.2MHz,5.08
2901.4MHz,11.86
2901.6MHz,20.34
2901.8MHz,8.47
2902.0MHz,6.78
2902.2MHz,6.78
2902.4MHz,6.78
2902.6MHz,1.69
2902.8MHz,0.0
2903.0MHz,1.69
2903.2MHz,1.69
2903.4MHz,1.69
2903.6MHz,1.69
2903.8MHz,1.69
2904.0MHz,1.69
2904.2MHz,3.39
2904.4MHz,3.39
2904.6MHz,3.39
2904.8MHz,3.39
2905.0MHz,5.08
2905.2MHz,5.08
2905.4MHz,5.08
2905.6MHz,6.78
2905.8MHz,6.78
2906.0MHz,8.47
2906.2MHz,10.17
2906.4MHz,10.17
2906.6MHz,10.17
2906.8MHz,10.17
2907.0MHz,11.86
2907.2MHz,11.86
2907.4MHz,11.86
2907.6MHz,11.86
2907.8MHz,11.86
2908.0MHz,11.86
2908.2MHz,11.86
2908.4MHz,11.86
2908.6MHz,11.86
2908.8MHz,11.86
2909.0MHz,11.86
2909.2MHz,11.86
2909.4MHz,11.86
2909.6MHz,11.86
2909.8MHz,11.86
2910.0MHz,11.86
2910.2MHz,11.86
2910.4MHz,11.86
2910.6MHz,11.86
2910.8MHz,11.86
2911.0MHz,11.86
2911.2MHz,11.86
2911.4MHz,11.86
2911.6MHz,11.86
2911.8MHz,11.86
2912.0MHz,11.86
2912.2MHz,11.86
2912.4MHz,11.86
2912.6MHz,11.86
2912.8MHz,11.86
2913.0MHz,11.86
2913.2MHz,11.86
2913.4MHz,11.86
2913.6MHz,11.86
2913.8MHz,11.86
2914.0MHz,11.86
2914.2MHz,11.86
2914.4MHz,11.86
2914.6MHz,11.86
2914.8MHz,11.86
2915.0MHz,11.86
2915.2MHz,11.86
2915.4MHz,11.86
2915.6MHz,11.86
2915.8MHz,11.86
2916.0MHz,11.86
2916.2MHz,11.86
2916.4MHz,11.86
2916.6MHz,11.86
2916.8MHz,11.86
2917.0MHz,11.86
2917.2MHz,11.86
2917.4MHz,11.86
2917.6MHz,11.86
2917.8MHz,11.86
2918.0MHz,11.86
2918.2MHz,11.86
2918.4MHz,11.86
2918.6MHz,11.86
2918.8MHz,11.86
2919.0MHz,11.86
2919.2MHz,11.86
2919.4MHz,11.86
2919.6MHz,11.86
2919.8MHz,11.86
2920.0MHz,11.86
2920.2MHz,11.86
2920.4MHz,11.86
2920.6MHz,11.86
2920.8MHz,11.86
2921.0MHz,11.86
2921.2MHz,11.86
2921.4MHz,11.86
2921.6MHz,11.86
2921.8MHz,11.86
2922.0MHz,11.86
2922.2MHz,11.86
2922.4MHz,11.86
2922.6MHz,11.86
2922.8MHz,11.86
2923.0MHz,11.86
2923.2MHz,11.86
2923.4MHz,11.86
2923.6MHz,11.86
2923.8MHz,11.86
2924.0MHz,11.86
2924.2MHz,11.86
2924.4MHz,11.86
2924.6MHz,11.86
2924.8MHz,11.86
2925.0MHz,11.86
2925.2MHz,11.86
2925.4MHz,11.86
2925.6MHz,11.86
2925.8MHz,11.86
2926.0MHz,11.86
2926.2MHz,11.86
2926.4MHz,11.86
2926.6MHz,11.86
2926.8MHz,11.86
2927.0MHz,11.86
2927.2MHz,11.86
2927.4MHz,11.86
2927.6MHz,11.86
2927.8MHz,6.78
2928.0MHz,6.78
2928.2MHz,8.47
2928.4MHz,6.78
2928.6MHz,8.47
2928.8MHz,10.17
2929.0MHz,10.17
2929.2MHz,10.17
2929.4MHz,10.17
2929.6MHz,10.17
2929.8MHz,10.17
2930.0MHz,8.47
2930.2MHz,6.78
2930.4MHz,5.08
2930.6MHz,5.08
2930.8MHz,5.08
2931.0MHz,3.39
2931.2MHz,3.39
2931.4MHz,3.39
2931.6MHz,3.39
2931.8MHz,3.39
2932.0MHz,3.39
2932.2MHz,3.39
2932.4MHz,3.39
2932.6MHz,3.39
2932.8MHz,3.39
2933.0MHz,3.39
2933.2MHz,3.39
2933.4MHz,3.39
2933.6MHz,3.39
2933.8MHz,3.39
2934.0MHz,3.39
2934.2MHz,3.39
2934.4MHz,3.39
2934.6MHz,3.39
2934.8MHz,1.69
2935.0MHz,1.69
2935.2MHz,1.69
2935.4MHz,1.69
2935.6MHz,0.0
2935.8MHz,0.0
2936.0MHz,0.0
2936.2MHz,0.0
2936.4MHz,0.0
2936.6MHz,0.0
2936.8MHz,0.0
2937.0MHz,0.0
2937.2MHz,0.0
2937.4MHz,0.0
2937.6MHz,0.0
2937.8MHz,0.0
2938.0MHz,0.0
2938.2MHz,0.0
2938.4MHz,0.0
2938.6MHz,0.0
2938.8MHz,0.0
2939.0MHz,0.0
2939.2MHz,0.0
2939.4MHz,0.0
2939.6MHz,0.0
2939.8MHz,0.0
2940.0MHz,0.0
2940.2MHz,0.0
2940.4MHz,0.0
2940.6MHz,0.0
2940.8MHz,0.0
2941.0MHz,0.0
2941.2MHz,0.0
2941.4MHz,0.0
2941.6MHz,0.0
2941.8MHz,0.0
2942.0MHz,0.0
2942.2MHz,0.0
2942.4MHz,0.0
2942.6MHz,0.0
2942.8MHz,0.0
2943.0MHz,0.0
2943.2MHz,0.0
2943.4MHz,0.0
2943.6MHz,0.0
2943.8MHz,0.0
2944.0MHz,0.0
2944.2MHz,0.0
2944.4MHz,0.0
2944.6MHz,0.0
2944.8MHz,0.0
2945.0MHz,0.0
2945.2MHz,0.0
2945.4MHz,0.0
2945.6MHz,0.0
2945.8MHz,1.69
2946.0MHz,1.69
2946.2MHz,1.69
2946.4MHz,3.39
2946.6MHz,5.08
2946.8MHz,5.08
2947.0MHz,3.39
2947.2MHz,5.08
2947.4MHz,6.78
2947.6MHz,6.78
2947.8MHz,10.17
2948.0MHz,8.47
2948.2MHz,10.17
2948.4MHz,11.86
2948.6MHz,15.25
2948.8MHz,10.17
2949.0MHz,6.78
2949.2MHz,3.39
2949.4MHz,3.39
2949.6MHz,1.69
2949.8MHz,0.0
2950.0MHz,6.78
2950.2MHz,6.78
2950.4MHz,6.78
2950.6MHz,6.78
2950.8MHz,8.47
2951.0MHz,8.47
2951.2MHz,8.47
2951.4MHz,10.17
2951.6MHz,8.47
2951.8MHz,8.47
2952.0MHz,8.47
2952.2MHz,6.78
2952.4MHz,6.78
2952.6MHz,6.78
2952.8MHz,5.08
2953.0MHz,3.39
2953.2MHz,3.39
2953.4MHz,1.69
2953.6MHz,1.69
2953.8MHz,1.69
2954.0MHz,0.0
2954.2MHz,0.0
2954.4MHz,0.0
2954.6MHz,0.0
2954.8MHz,0.0
2955.0MHz,0.0
2955.2MHz,1.69
2955.4MHz,1.69
2955.6MHz,1.69
2955.8MHz,1.69
2956.0MHz,1.69
2956.2MHz,3.39
2956.4MHz,3.39
2956.6MHz,5.08
2956.8MHz,5.08
2957.0MHz,6.78
2957.2MHz,6.78
2957.4MHz,8.47
2957.6MHz,8.47
2957.8MHz,8.47
2958.0MHz,8.47
2958.2MHz,8.47
2958.4MHz,8.47
2958.6MHz,8.47
2958.8MHz,8.47
2959.0MHz,10.17
2959.2MHz,10.17
2959.4MHz,11.86
2959.6MHz,13.56
2959.8MHz,13.56
2960.0MHz,13.56
2960.2MHz,13.56
2960.4MHz,13.56
2960.6MHz,13.56
2960.8MHz,13.56
2961.0MHz,13.56
2961.2MHz,13.56
2961.4MHz,13.56
2961.6MHz,13.56
2961.8MHz,13.56
2962.0MHz,13.56
2962.2MHz,13.56
2962.4MHz,13.56
2962.6MHz,13.56
2962.8MHz,13.56
2963.0MHz,13.56
2963.2MHz,13.56
2963.4MHz,13.56
2963.6MHz,13.56
2963.8MHz,13.56
2964.0MHz,13.56
2964.2MHz,13.56
2964.4MHz,13.56
2964.6MHz,13.56
2964.8MHz,13.56
2965.0MHz,13.56
2965.2MHz,13.56
2965.4MHz,13.56
2965.6MHz,13.56
2965.8MHz,13.56
2966.0MHz,13.56
2966.2MHz,13.56
2966.4MHz,13.56
2966.6MHz,13.56
2966.8MHz,13.56
2967.0MHz,13.56
2967.2MHz,13.56
2967.4MHz,13.56
2967.6MHz,13.56
2967.8MHz,13.56
2968.0MHz,13.56
2968.2MHz,13.56
2968.4MHz,13.56
2968.6MHz,13.56
2968.8MHz,13.56
2969.0MHz,13.56
2969.2MHz,13.56
2969.4MHz,13.56
2969.6MHz,13.56
2969.8MHz,13.56
2970.0MHz,13.56
2970.2MHz,13.56
2970.4MHz,13.56
2970.6MHz,13.56
2970.8MHz,13.56
2971.0MHz,13.56
2971.2MHz,13.56
2971.4MHz,13.56
2971.6MHz,13.56
2971.8MHz,13.56
2972.0MHz,13.56
2972.2MHz,13.56
2972.4MHz,13.56
2972.6MHz,13.56
2972.8MHz,13.56
2973.0MHz,13.56
2973.2MHz,13.56
2973.4MHz,13.56
2973.6MHz,13.56
2973.8MHz,13.56
2974.0MHz,13.56
2974.2MHz,13.56
2974.4MHz,13.56
2974.6MHz,13.56
2974.8MHz,13.56
2975.0MHz,13.56
2975.2MHz,13.56
2975.4MHz,13.56
2975.6MHz,13.56
2975.8MHz,13.56
2976.0MHz,13.56
2976.2MHz,13.56
2976.4MHz,13.56
2976.6MHz,13.56
2976.8MHz,13.56
2977.0MHz,13.56
2977.2MHz,13.56
2977.4MHz,13.56
2977.6MHz,10.17
2977.8MHz,10.17
2978.0MHz,10.17
2978.2MHz,10.17
2978.4MHz,10.17
2978.6MHz,10.17
2978.8MHz,10.17
2979.0MHz,10.17
2979.2MHz,10.17
2979.4MHz,11.86
2979.6MHz,10.17
2979.8MHz,10.17
2980.0MHz,10.17
2980.2MHz,10.17
2980.4MHz,10.17
2980.6MHz,8.47
2980.8MHz,8.47
2981.0MHz,8.47
2981.2MHz,8.47
2981.4MHz,8.47
2981.6MHz,8.47
2981.8MHz,8.47
2982.0MHz,8.47
2982.2MHz,8.47
2982.4MHz,8.47
2982.6MHz,8.47
2982.8MHz,8.47
2983.0MHz,8.47
2983.2MHz,8.47
2983.4MHz,8.47
2983.6MHz,8.47
2983.8MHz,8.47
2984.0MHz,8.47
2984.2MHz,8.47
2984.4MHz,8.47
2984.6MHz,8.47
2984.8MHz,6.78
2985.0MHz,6.78
2985.2MHz,6.78
2985.4MHz,5.08
2985.6MHz,5.08
2985.8MHz,5.08
2986.0MHz,5.08
2986.2MHz,5.08
2986.4MHz,5.08
2986.6MHz,5.08
2986.8MHz,5.08
2987.0MHz,5.08
2987.2MHz,5.08
2987.4MHz,5.08
2987.6MHz,3.39
2987.8MHz,3.39
2988.0MHz,3.39
2988.2MHz,3.39
2988.4MHz,3.39
2988.6MHz,3.39
2988.8MHz,3.39
2989.0MHz,3.39
2989.2MHz,5.08
2989.4MHz,5.08
2989.6MHz,5.08
2989.8MHz,5.08
2990.0MHz,5.08
2990.2MHz,5.08
2990.4MHz,5.08
2990.6MHz,5.08
2990.8MHz,5.08
2991.0MHz,5.08
2991.2MHz,5.08
2991.4MHz,5.08
2991.6MHz,5.08
2991.8MHz,5.08
2992.0MHz,5.08
2992.2MHz,5.08
2992.4MHz,5.08
2992.6MHz,5.08
2992.8MHz,5.08
2993.0MHz,5.08
2993.2MHz,5.08
2993.4MHz,5.08
2993.6MHz,5.08
2993.8MHz,5.08
2994.0MHz,5.08
2994.2MHz,5.08
2994.4MHz,5.08
2994.6MHz,6.78
2994.8MHz,6.78
2995.0MHz,6.78
2995.2MHz,6.78
2995.4MHz,6.78
2995.6MHz,6.78
2995.8MHz,6.78
2996.0MHz,6.78
2996.2MHz,6.78
2996.4MHz,6.78
2996.6MHz,6.78
2996.8MHz,8.47
2997.0MHz,8.47
2997.2MHz,8.47
2997.4MHz,8.47
2997.6MHz,8.47
2997.8MHz,8.47
2998.0MHz,8.47
2998.2MHz,8.47
2998.4MHz,10.17
2998.6MHz,10.17
2998.8MHz,8.47
2999.0MHz,8.47
2999.2MHz,6.78
2999.4MHz,6.78
2999.6MHz,6.78
2999.8MHz,6.78
3000.0MHz,1.69
3000.2MHz,1.69
3000.4MHz,3.39
3000.6MHz,3.39
3000.8MHz,3.39
3001.0MHz,3.39
3001.2MHz,6.78
3001.4MHz,10.17
3001.6MHz,10.17
3001.8MHz,10.17
3002.0MHz,3.39
3002.2MHz,3.39
3002.4MHz,3.39
3002.6MHz,1.69
3002.8MHz,1.69
3003.0MHz,1.69
3003.2MHz,0.0
3003.4MHz,0.0
3003.6MHz,0.0
3003.8MHz,0.0
3004.0MHz,0.0
3004.2MHz,0.0
3004.4MHz,0.0
3004.6MHz,1.69
3004.8MHz,0.0
3005.0MHz,0.0
3005.2MHz,1.69
3005.4MHz,1.69
3005.6MHz,1.69
3005.8MHz,1.69
3006.0MHz,1.69
3006.2MHz,1.69
3006.4MHz,3.39
3006.6MHz,3.39
3006.8MHz,3.39
3007.0MHz,3.39
3007.2MHz,3.39
3007.4MHz,3.39
3007.6MHz,3.39
3007.8MHz,3.39
3008.0MHz,3.39
3008.2MHz,3.39
3008.4MHz,3.39
3008.6MHz,5.08
3008.8MHz,6.78
3009.0MHz,6.78
3009.2MHz,6.78
3009.4MHz,8.47
3009.6MHz,8.47
3009.8MHz,8.47
3010.0MHz,8.47
3010.2MHz,8.47
3010.4MHz,8.47
3010.6MHz,8.47
3010.8MHz,8.47
3011.0MHz,10.17
3011.2MHz,10.17
3011.4MHz,10.17
3011.6MHz,10.17
3011.8MHz,10.17
3012.0MHz,10.17
3012.2MHz,10.17
3012.4MHz,10.17
3012.6MHz,10.17
3012.8MHz,10.17
3013.0MHz,10.17
3013.2MHz,10.17
3013.4MHz,10.17
3013.6MHz,10.17
3013.8MHz,10.17
3014.0MHz,10.17
3014.2MHz,10.17
3014.4MHz,10.17
3014.6MHz,10.17
3014.8MHz,10.17
3015.0MHz,10.17
3015.2MHz,10.17
3015.4MHz,10.17
3015.6MHz,10.17
3015.8MHz,10.17
3016.0MHz,10.17
3016.2MHz,10.17
3016.4MHz,10.17
3016.6MHz,10.17
3016.8MHz,10.17
3017.0MHz,10.17
3017.2MHz,10.17
3017.4MHz,10.17
3017.6MHz,10.17
3017.8MHz,10.17
3018.0MHz,10.17
3018.2MHz,10.17
3018.4MHz,10.17
3018.6MHz,10.17
3018.8MHz,10.17
3019.0MHz,10.17
3019.2MHz,10.17
3019.4MHz,10.17
3019.6MHz,10.17
3019.8MHz,10.17
3020.0MHz,10.17
3020.2MHz,10.17
3020.4MHz,10.17
3020.6MHz,10.17
3020.8MHz,10.17
3021.0MHz,10.17
3021.2MHz,10.17
3021.4MHz,10.17
3021.6MHz,10.17
3021.8MHz,10.17
3022.0MHz,10.17
3022.2MHz,10.17
3022.4MHz,10.17
3022.6MHz,10.17
3022.8MHz,10.17
3023.0MHz,10.17
3023.2MHz,10.17
3023.4MHz,10.17
3023.6MHz,10.17
3023.8MHz,10.17
3024.0MHz,10.17
3024.2MHz,10.17
3024.4MHz,10.17
3024.6MHz,10.17
3024.8MHz,10.17
3025.0MHz,10.17
3025.2MHz,10.17
3025.4MHz,10.17
3025.6MHz,10.17
3025.8MHz,10.17
3026.0MHz,10.17
3026.2MHz,10.17
3026.4MHz,10.17
3026.6MHz,10.17
3026.8MHz,10.17
3027.0MHz,10.17
3027.2MHz,10.17
3027.4MHz,10.17
3027.6MHz,10.17
3027.8MHz,6.78
3028.0MHz,6.78
3028.2MHz,6.78
3028.4MHz,6.78
3028.6MHz,6.78
3028.8MHz,6.78
3029.0MHz,8.47
3029.2MHz,8.47
3029.4MHz,8.47
3029.6MHz,8.47
3029.8MHz,8.47
3030.0MHz,6.78
3030.2MHz,6.78
3030.4MHz,6.78
3030.6MHz,6.78
3030.8MHz,6.78
3031.0MHz,6.78
3031.2MHz,6.78
3031.4MHz,6.78
3031.6MHz,6.78
3031.8MHz,6.78
3032.0MHz,6.78
3032.2MHz,6.78
