,SRO
2212.8MHz,13.56
2213.0MHz,3.39
2213.2MHz,0.0
2213.4MHz,0.0
2213.6MHz,0.0
2213.8MHz,0.0
2214.0MHz,0.0
2214.2MHz,0.0
2214.4MHz,0.0
2214.6MHz,0.0
2214.8MHz,0.0
2215.0MHz,0.0
2215.2MHz,0.0
2215.4MHz,0.0
2215.6MHz,0.0
2215.8MHz,0.0
2216.0MHz,0.0
2216.2MHz,0.0
2216.4MHz,0.0
2216.6MHz,0.0
2216.8MHz,0.0
2217.0MHz,0.0
2217.2MHz,0.0
2217.4MHz,0.0
2217.6MHz,0.0
2217.8MHz,0.0
2218.0MHz,0.0
2218.2MHz,0.0
2218.4MHz,0.0
2218.6MHz,0.0
2218.8MHz,0.0
2219.0MHz,0.0
2219.2MHz,0.0
2219.4MHz,0.0
2219.6MHz,0.0
2219.8MHz,0.0
2220.0MHz,0.0
2220.2MHz,0.0
2220.4MHz,0.0
2220.6MHz,0.0
2220.8MHz,0.0
2221.0MHz,0.0
2221.2MHz,0.0
2221.4MHz,0.0
2221.6MHz,0.0
2221.8MHz,0.0
2222.0MHz,0.0
2222.2MHz,0.0
2222.4MHz,0.0
2222.6MHz,0.0
2222.8MHz,0.0
2223.0MHz,0.0
2223.2MHz,0.0
2223.4MHz,0.0
2223.6MHz,0.0
2223.8MHz,0.0
2224.0MHz,0.0
2224.2MHz,0.0
2224.4MHz,0.0
2224.6MHz,0.0
2224.8MHz,0.0
2225.0MHz,0.0
2225.2MHz,0.0
2225.4MHz,0.0
2225.6MHz,0.0
2225.8MHz,0.0
2226.0MHz,0.0
2226.2MHz,0.0
2226.4MHz,0.0
2226.6MHz,0.0
2226.8MHz,0.0
2227.0MHz,0.0
2227.2MHz,0.0
2227.4MHz,0.0
2227.6MHz,0.0
2227.8MHz,0.0
2228.0MHz,0.0
2228.2MHz,0.0
2228.4MHz,0.0
2228.6MHz,0.0
2228.8MHz,0.0
2229.0MHz,0.0
2229.2MHz,0.0
2229.4MHz,0.0
2229.6MHz,0.0
2229.8MHz,0.0
2230.0MHz,0.0
2230.2MHz,0.0
2230.4MHz,0.0
2230.6MHz,0.0
2230.8MHz,0.0
2231.0MHz,0.0
2231.2MHz,0.0
2231.4MHz,0.0
2231.6MHz,0.0
2231.8MHz,0.0
2232.0MHz,0.0
2232.2MHz,0.0
2232.4MHz,0.0
2232.6MHz,0.0
2232.8MHz,0.0
2233.0MHz,0.0
2233.2MHz,0.0
2233.4MHz,0.0
2233.6MHz,0.0
2233.8MHz,0.0
2234.0MHz,0.0
2234.2MHz,0.0
2234.4MHz,0.0
2234.6MHz,0.0
2234.8MHz,0.0
2235.0MHz,0.0
2235.2MHz,0.0
2235.4MHz,0.0
2235.6MHz,0.0
2235.8MHz,0.0
2236.0MHz,0.0
2236.2MHz,0.0
2236.4MHz,0.0
2236.6MHz,0.0
2236.8MHz,0.0
2237.0MHz,0.0
2237.2MHz,0.0
2237.4MHz,0.0
2237.6MHz,0.0
2237.8MHz,0.0
2238.0MHz,0.0
2238.2MHz,0.0
2238.4MHz,0.0
2238.6MHz,0.0
2238.8MHz,0.0
2239.0MHz,0.0
2239.2MHz,0.0
2239.4MHz,0.0
2239.6MHz,0.0
2239.8MHz,0.0
2240.0MHz,0.0
2240.2MHz,0.0
2240.4MHz,0.0
2240.6MHz,0.0
2240.8MHz,0.0
2241.0MHz,0.0
2241.2MHz,0.0
2241.4MHz,0.0
2241.6MHz,0.0
2241.8MHz,0.0
2242.0MHz,0.0
2242.2MHz,0.0
2242.4MHz,0.0
2242.6MHz,0.0
2242.8MHz,0.0
2243.0MHz,0.0
2243.2MHz,0.0
2243.4MHz,0.0
2243.6MHz,0.0
2243.8MHz,0.0
2244.0MHz,0.0
2244.2MHz,0.0
2244.4MHz,0.0
2244.6MHz,0.0
2244.8MHz,0.0
2245.0MHz,0.0
2245.2MHz,0.0
2245.4MHz,0.0
2245.6MHz,0.0
2245.8MHz,0.0
2246.0MHz,0.0
2246.2MHz,0.0
2246.4MHz,0.0
2246.6MHz,0.0
2246.8MHz,0.0
2247.0MHz,0.0
2247.2MHz,0.0
2247.4MHz,0.0
2247.6MHz,0.0
2247.8MHz,0.0
2248.0MHz,0.0
2248.2MHz,0.0
2248.4MHz,3.39
2248.6MHz,5.08
2248.8MHz,0.0
2249.0MHz,0.0
2249.2MHz,0.0
2249.4MHz,0.0
2249.6MHz,0.0
2249.8MHz,0.0
2250.0MHz,1.69
2250.2MHz,1.69
2250.4MHz,1.69
2250.6MHz,3.39
2250.8MHz,3.39
2251.0MHz,5.08
2251.2MHz,10.17
2251.4MHz,11.86
2251.6MHz,10.17
2251.8MHz,8.47
2252.0MHz,5.08
2252.2MHz,5.08
2252.4MHz,1.69
2252.6MHz,1.69
2252.8MHz,1.69
2253.0MHz,1.69
2253.2MHz,1.69
2253.4MHz,1.69
2253.6MHz,1.69
2253.8MHz,1.69
2254.0MHz,1.69
2254.2MHz,1.69
2254.4MHz,3.39
2254.6MHz,3.39
2254.8MHz,3.39
2255.0MHz,3.39
2255.2MHz,3.39
2255.4MHz,3.39
2255.6MHz,3.39
2255.8MHz,3.39
2256.0MHz,3.39
2256.2MHz,3.39
2256.4MHz,3.39
2256.6MHz,6.78
2256.8MHz,6.78
2257.0MHz,8.47
2257.2MHz,8.47
2257.4MHz,8.47
2257.6MHz,8.47
2257.8MHz,8.47
2258.0MHz,8.47
2258.2MHz,8.47
2258.4MHz,8.47
2258.6MHz,8.47
2258.8MHz,8.47
2259.0MHz,8.47
2259.2MHz,8.47
2259.4MHz,8.47
2259.6MHz,8.47
2259.8MHz,8.47
2260.0MHz,8.47
2260.2MHz,8.47
2260.4MHz,8.47
2260.6MHz,8.47
2260.8MHz,8.47
2261.0MHz,8.47
2261.2MHz,8.47
2261.4MHz,8.47
2261.6MHz,8.47
2261.8MHz,8.47
2262.0MHz,8.47
2262.2MHz,8.47
2262.4MHz,8.47
2262.6MHz,8.47
2262.8MHz,8.47
2263.0MHz,8.47
2263.2MHz,8.47
2263.4MHz,8.47
2263.6MHz,8.47
2263.8MHz,8.47
2264.0MHz,8.47
2264.2MHz,8.47
2264.4MHz,8.47
2264.6MHz,8.47
2264.8MHz,8.47
2265.0MHz,8.47
2265.2MHz,8.47
2265.4MHz,8.47
2265.6MHz,8.47
2265.8MHz,8.47
2266.0MHz,8.47
2266.2MHz,8.47
2266.4MHz,8.47
2266.6MHz,8.47
2266.8MHz,8.47
2267.0MHz,8.47
2267.2MHz,8.47
2267.4MHz,8.47
2267.6MHz,8.47
2267.8MHz,8.47
2268.0MHz,8.47
2268.2MHz,8.47
2268.4MHz,8.47
2268.6MHz,8.47
2268.8MHz,8.47
2269.0MHz,8.47
2269.2MHz,8.47
2269.4MHz,8.47
2269.6MHz,8.47
2269.8MHz,8.47
2270.0MHz,8.47
2270.2MHz,8.47
2270.4MHz,8.47
2270.6MHz,8.47
2270.8MHz,8.47
2271.0MHz,8.47
2271.2MHz,8.47
2271.4MHz,8.47
2271.6MHz,8.47
2271.8MHz,8.47
2272.0MHz,8.47
2272.2MHz,8.47
2272.4MHz,8.47
2272.6MHz,8.47
2272.8MHz,8.47
2273.0MHz,8.47
2273.2MHz,8.47
2273.4MHz,8.47
2273.6MHz,8.47
2273.8MHz,8.47
2274.0MHz,8.47
2274.2MHz,8.47
2274.4MHz,8.47
2274.6MHz,8.47
2274.8MHz,8.47
2275.0MHz,8.47
2275.2MHz,8.47
2275.4MHz,8.47
2275.6MHz,8.47
2275.8MHz,8.47
2276.0MHz,8.47
2276.2MHz,8.47
2276.4MHz,8.47
2276.6MHz,8.47
2276.8MHz,8.47
2277.0MHz,8.47
2277.2MHz,8.47
2277.4MHz,6.78
2277.6MHz,6.78
2277.8MHz,6.78
2278.0MHz,5.08
2278.2MHz,5.08
2278.4MHz,6.78
2278.6MHz,6.78
2278.8MHz,6.78
2279.0MHz,6.78
2279.2MHz,6.78
2279.4MHz,6.78
2279.6MHz,6.78
2279.8MHz,6.78
2280.0MHz,6.78
2280.2MHz,6.78
2280.4MHz,5.08
2280.6MHz,5.08
2280.8MHz,5.08
2281.0MHz,3.39
2281.2MHz,3.39
2281.4MHz,3.39
2281.6MHz,3.39
2281.8MHz,3.39
2282.0MHz,3.39
2282.2MHz,3.39
2282.4MHz,3.39
2282.6MHz,3.39
2282.8MHz,3.39
2283.0MHz,3.39
2283.2MHz,3.39
2283.4MHz,3.39
2283.6MHz,3.39
2283.8MHz,3.39
2284.0MHz,1.69
2284.2MHz,1.69
2284.4MHz,1.69
2284.6MHz,1.69
2284.8MHz,1.69
2285.0MHz,1.69
2285.2MHz,1.69
2285.4MHz,0.0
2285.6MHz,0.0
2285.8MHz,0.0
2286.0MHz,0.0
2286.2MHz,0.0
2286.4MHz,0.0
2286.6MHz,0.0
2286.8MHz,0.0
2287.0MHz,0.0
2287.2MHz,0.0
2287.4MHz,0.0
2287.6MHz,0.0
2287.8MHz,0.0
2288.0MHz,0.0
2288.2MHz,0.0
2288.4MHz,0.0
2288.6MHz,0.0
2288.8MHz,0.0
2289.0MHz,0.0
2289.2MHz,0.0
2289.4MHz,0.0
2289.6MHz,0.0
2289.8MHz,0.0
2290.0MHz,0.0
2290.2MHz,0.0
2290.4MHz,0.0
2290.6MHz,0.0
2290.8MHz,0.0
2291.0MHz,0.0
2291.2MHz,0.0
2291.4MHz,0.0
2291.6MHz,0.0
2291.8MHz,0.0
2292.0MHz,0.0
2292.2MHz,0.0
2292.4MHz,0.0
2292.6MHz,0.0
2292.8MHz,0.0
2293.0MHz,0.0
2293.2MHz,0.0
2293.4MHz,0.0
2293.6MHz,1.69
2293.8MHz,1.69
2294.0MHz,1.69
2294.2MHz,1.69
2294.4MHz,1.69
2294.6MHz,1.69
2294.8MHz,1.69
2295.0MHz,1.69
2295.2MHz,1.69
2295.4MHz,1.69
2295.6MHz,1.69
2295.8MHz,1.69
2296.0MHz,1.69
2296.2MHz,1.69
2296.4MHz,3.39
2296.6MHz,3.39
2296.8MHz,3.39
2297.0MHz,3.39
2297.2MHz,5.08
2297.4MHz,6.78
2297.6MHz,6.78
2297.8MHz,6.78
2298.0MHz,6.78
2298.2MHz,8.47
2298.4MHz,18.64
2298.6MHz,13.56
2298.8MHz,6.78
2299.0MHz,3.39
2299.2MHz,3.39
2299.4MHz,3.39
2299.6MHz,1.69
2299.8MHz,1.69
2300.0MHz,1.69
2300.2MHz,1.69
2300.4MHz,1.69
2300.6MHz,1.69
2300.8MHz,3.39
2301.0MHz,5.08
2301.2MHz,6.78
2301.4MHz,10.17
2301.6MHz,13.56
2301.8MHz,6.78
2302.0MHz,5.08
2302.2MHz,3.39
2302.4MHz,3.39
2302.6MHz,1.69
2302.8MHz,0.0
2303.0MHz,0.0
2303.2MHz,0.0
2303.4MHz,0.0
2303.6MHz,0.0
2303.8MHz,0.0
2304.0MHz,0.0
2304.2MHz,0.0
2304.4MHz,0.0
2304.6MHz,0.0
2304.8MHz,0.0
2305.0MHz,0.0
2305.2MHz,0.0
2305.4MHz,0.0
2305.6MHz,0.0
2305.8MHz,0.0
2306.0MHz,0.0
2306.2MHz,0.0
2306.4MHz,0.0
2306.6MHz,0.0
2306.8MHz,1.69
2307.0MHz,3.39
2307.2MHz,3.39
2307.4MHz,3.39
2307.6MHz,3.39
2307.8MHz,3.39
2308.0MHz,3.39
2308.2MHz,3.39
2308.4MHz,3.39
2308.6MHz,3.39
2308.8MHz,5.08
2309.0MHz,5.08
2309.2MHz,5.08
2309.4MHz,5.08
2309.6MHz,5.08
2309.8MHz,5.08
2310.0MHz,5.08
2310.2MHz,5.08
2310.4MHz,6.78
2310.6MHz,6.78
2310.8MHz,6.78
2311.0MHz,6.78
2311.2MHz,6.78
2311.4MHz,6.78
2311.6MHz,6.78
2311.8MHz,6.78
2312.0MHz,6.78
2312.2MHz,6.78
2312.4MHz,6.78
2312.6MHz,6.78
2312.8MHz,6.78
2313.0MHz,6.78
2313.2MHz,6.78
2313.4MHz,6.78
2313.6MHz,6.78
2313.8MHz,6.78
2314.0MHz,6.78
2314.2MHz,6.78
2314.4MHz,6.78
2314.6MHz,6.78
2314.8MHz,6.78
2315.0MHz,6.78
2315.2MHz,6.78
2315.4MHz,6.78
2315.6MHz,6.78
2315.8MHz,6.78
2316.0MHz,6.78
2316.2MHz,6.78
2316.4MHz,6.78
2316.6MHz,6.78
